(sam male nil (bob jane joe sally))
(doris female nil (bob jane joe sally))
(bob male (sam doris) (matt becky))
(jane female (sam doris) nil)
(joe male (sam doris) nil)
(sally female (sam doris) (mike steve ellen))
(linda female nil (matt becky))
(matt male (linda bob) nil)
(becky female (linda bob) nil)
(tom male nil (jack jill))
(helen female nil (jack jill))
(jack male (tom helen) (mike steve ellen))
(jill female (tom helen) nil)
(ellen female (jack sally) nil)
(mike male (jack sally) nil)
(steve male (jack sally) nil)
